SeqID,Order,AF-16-11,AF-VS5,AF-VS6-2,AF-16-13,AF-16-01,AF-16-14,AF-16-02,AF-16-15,AF-16-03,AF-16-16,AF-16-04,AF-16-17,AF-16-05,AF-16-18,AF-16-07,AF-VS1,AF-16-08,AF-VS2,AF-16-10,AF-VS4,AF-16-09,AF-16-12,AF-VS3
seq186,[3]Blattodea,0,0,0,0,0,0,0,0,116,45,147,0,0,0,0,0,0,0,0,0,0,0,0
seq187,[3]Ephemeroptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq188,[3]Lepidoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq189,[3]Orthoptera,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0
seq190,[3]Coleoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq191,[3]Hemiptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq192,[3]Hemiptera,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0
seq193,[3]Blattodea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0
seq194,[3]Coleoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq195,[3]Blattodea,0,0,0,0,0,0,0,0,123,0,154,0,0,0,0,0,0,0,0,0,0,0,0
seq196,[3]Lepidoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq197,[3]Hymenoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0
seq198,[3]Coleoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq200,[3]Hemiptera,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0
seq201,[3]Orthoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq202,[3]Diptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq203,[3]Hymenoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq204,[3]Blattodea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
